name,raw,normalized,dash-foramt,area-foramt
ten digit,1234567890,1234567890,123-456-7890,(123) 456-7890
country code,11234567890,1234567890,123-456-7890,(123) 456-7890
seven digit,4567890,8884567890,888-456-7890,(888) 456-7890
nine digit,234567890,,,
four digit,7890,,,
twenty digit,12345678909876543210,9876543210,987-654-3210,(987) 654-3210
ten dash,123-456-7890,1234567890,123-456-7890,(123) 456-7890
area code,(123) 456-7890,1234567890,123-456-7890,(123) 456-7890
pound sign,#1234567890,1234567890,123-456-7890,(123) 456-7890
pound mix,#123-456-7890,1234567890,123-456-7890,(123) 456-7890
pound code,#LAW,,,
bad data,bad data,,,
capital O,1234567O90,1234567090,123-456-7090,(123) 456-7090
lower O,1234567o90,1234567090,123-456-7090,(123) 456-7090
